Date : 2026-08-03 15:25:38
Directory : /Users/so.shah/Documents/centralized-notifications-test
Total : 426 files,  50457 codes, 2112 comments, 9805 blanks, all 62374 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |         72 |     22,468 |         19 |      5,917 |     28,404 |
| TypeScript         |        232 |     15,569 |      1,724 |      2,013 |     19,306 |
| YAML               |          4 |      4,665 |          9 |      1,276 |      5,950 |
| Vue                |         36 |      3,035 |         37 |        274 |      3,346 |
| JSON               |         16 |      2,943 |          0 |         17 |      2,960 |
| Skill              |         12 |        543 |          0 |        142 |        685 |
| PostCSS            |          4 |        453 |         66 |         38 |        557 |
| MS SQL             |         29 |        244 |        167 |         59 |        470 |
| Python             |          2 |        169 |         24 |         24 |        217 |
| JavaScript         |          1 |        117 |         26 |          9 |        152 |
| JSON with Comments |          8 |        109 |          0 |          8 |        117 |
| Shell Script       |          3 |         53 |         26 |         18 |         97 |
| HTML               |          2 |         33 |          0 |          1 |         34 |
| Ignore             |          2 |         23 |          2 |          2 |         27 |
| Docker             |          2 |         21 |         12 |          6 |         39 |
| XML                |          1 |         12 |          0 |          1 |         13 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |        426 |     50,457 |      2,112 |      9,805 |     62,374 |
| . (Files)                                                                                                                               |         15 |      5,380 |         32 |      1,429 |      6,841 |
| .agents                                                                                                                                 |          2 |         59 |          0 |         19 |         78 |
| .agents/skills                                                                                                                          |          2 |         59 |          0 |         19 |         78 |
| .agents/skills/building-components                                                                                                      |          1 |         31 |          0 |          7 |         38 |
| .agents/skills/web-design-guidelines                                                                                                    |          1 |         28 |          0 |         12 |         40 |
| .claude                                                                                                                                 |         27 |      1,017 |         35 |        227 |      1,279 |
| .claude (Files)                                                                                                                         |          1 |         36 |          0 |          1 |         37 |
| .claude/agents                                                                                                                          |          7 |        250 |          0 |         52 |        302 |
| .claude/rules                                                                                                                           |          5 |        110 |          0 |         14 |        124 |
| .claude/scripts                                                                                                                         |          3 |         53 |         26 |         18 |         97 |
| .claude/skills                                                                                                                          |         11 |        568 |          9 |        142 |        719 |
| .claude/skills/building-components                                                                                                      |          1 |         31 |          0 |          7 |         38 |
| .claude/skills/commit                                                                                                                   |          1 |         38 |          0 |          9 |         47 |
| .claude/skills/design-system                                                                                                            |          1 |        107 |          0 |         23 |        130 |
| .claude/skills/docs-plan                                                                                                                |          1 |         36 |          0 |         11 |         47 |
| .claude/skills/fill-srs                                                                                                                 |          1 |         58 |          0 |         14 |         72 |
| .claude/skills/gantt-chart                                                                                                              |          2 |        121 |          9 |         32 |        162 |
| .claude/skills/gantt-chart (Files)                                                                                                      |          1 |         37 |          0 |         13 |         50 |
| .claude/skills/gantt-chart/scripts                                                                                                      |          1 |         84 |          9 |         19 |        112 |
| .claude/skills/gantt-sheets                                                                                                             |          1 |         49 |          0 |         11 |         60 |
| .claude/skills/json-form-conventions                                                                                                    |          1 |         74 |          0 |         16 |         90 |
| .claude/skills/open-pr                                                                                                                  |          1 |         26 |          0 |          7 |         33 |
